Model,Accuracy,Precision,Recall,F1-Score
CART,0.8212290502793296,0.8627450980392157,0.6376811594202898,0.7333333333333333
Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279
Naive Bayes,0.7932960893854749,0.75,0.6956521739130435,0.7218045112781954
SVM,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878
AdaBoost,0.8156424581005587,0.7727272727272727,0.7391304347826086,0.7555555555555555
GradientBoost,0.8100558659217877,0.7777777777777778,0.7101449275362319,0.7424242424242424
Logistic Regression,0.8491620111731844,0.828125,0.7681159420289855,0.7969924812030075
